codigo,Nombre,Barras,Tarima,Estiba,masterPack
ADIR1021-A,Luminario De Emergencia Portatil 60 Led,7502219800752,1890,63,30
ADIR12109,Estante Organizador de Acero de 5 Niveles,7506434228872,87,87,N/A
ADIR11577,Motosierra Con Motor,7506434221100,60,30,2
ADIR12394,Ventilador de Pedestal 16",7506434226892,56,56,N/A
ADIR12603,Compresor Lubricado VertiC3. 5HP CPN Tanque 50 L,7506434223006,8,8,N/A
ADIR12036,Portarrollo Jumbo Abs Negro Translucido,7506434226847,100,5,20
ADIR12109,Estante Metalico,7506434228872,87,87,N/A
ADIR13200,Sopladora Gasolina Tipo Mochila 43CC,7506434221453,18,18,N/A
ADIR13203,Soplador Inalambrico 20V,7506434225413,100,17,6
ADIR13204,Cortasetos Inalambrico 20V,7506434227356,80,20,4
ADIR13240,Podadora Gasolina,7506434231247,15,15,N/A
ADIR13423,Sierra De Cinta,,,,
ADIR1951,Aspiradora de Acero Inoxidable,7506434211942,35,35,N/A
ADIR2071,Ventilador Industrial C/Pedestal 26in,,,,
ADIR223,Desbrozadora Elec. C/Mango Extend. 350 W,7502219800943,72,9,8
ADIR226-A,Desbrozadora Con Motor A Gasolina 52 CC,7502265236857,30,30,N/A
ADIR241,Compresor Aire t/hamburguesa 1/2 hp T12,7506434221477,24,24,N/A
ADIR411,Hidro lavadora Alta Presion,7502265241509,60,60,N/A
ADIR256,Juego 22 Llaves Comb. STD/MM. 1/4-7/8 - 6,7502219800608,100,13,8
ADIR350,Fumigadora Agricola de Mochila,7502219800479,50,50,N/A
ADIR3850,Bomba Elec. Periferica 1/2 HP TULPLUS,7506434226267,100,100,N/A
ADIR411,Hidrolavadora Alta Presion,7502265241509,70,70,N/A
ADIR658,Mini compresor de aire 300 PSI,,26,2,N/A
ADIR6710,Careta Electronica para Soldar Freedom EAGL,7502265244784,20,20,4
ADIR6770,Careta Electronica para Soldar Futbol TULPL,7506434217616,128,32,4
ADIR658,Mini Compresor De Aire 300 PSI,,26,2,13
ADIR830,Maquina Trozadora de Metales 14in,7502219801674,24,24,N/A
ADIR920,Gato Hidraulico 2 Toneladas,7503003849919,150,150,N/A
AM1C10,Jaula para Mascotas Azul,7503040000000,210,21,10
AM1C13,Jaula para Mascotas Naranja,7503040000000,210,21,10
AM1C17,Jaula para Mascotas Cafe,7503040000000,210,21,10
AM1C22,Jaula para Mascotas Rosa,7503040000000,210,21,10
AM1C8,Jaula para Mascotas Azul,7503040000000,210,21,10
AM2C13,Arenero Domo para Gato de Plastico de 35*32*50cm Naranja,7503049746319,280,28,10
AM2C17,Arenero Domo para Gato de Plastico de 35*32*50cm Cafe,7503049746319,280,28,10
AM2C22,Arenero Domo para Gato de Plastico de 35*32*50cm Rosa,7503049746296,280,28,10
AM2C8,Arenero Domo para Gato de Plastico de 35*32*50cm Azul,7503049746272,280,28,10
AM2C9,Arenero Domo para Gato de Plastico de 35*32*50cm Marino,7503049746302,280,28,10
BB10C4,Carriola Infantil Clasica Mod.2 Gris,,,,
BB17C22,Bañera para Bebe Portatil Rosa,,,,
BB17C31,Bañera para Bebe Portatil Verde,,,,
BB17C8,Bañera para Bebe Portatil Azul,,,,
BB20C10,Silla Alta Periquera para Bebe 2 Posiciones Azul Claro,7503050000000,36,36,N/A
BB21C39,Gimnasio para Bebe de 73*58*40 LZ-948 Arcoiris,7503049746654,200,200,N/A
BB21C56,Gimnasio para Bebe de 73*58*40 LZ-925 Azul/Blanco,7503049746609,115,115,N/A
BB21C8,Gimnasio para Bebe de 73*58*40 LZ-932 Azul,7503049746630,200,200,N/A
BB22C22,Andadera para Bebe Sencilla Rosa,7503050000000,63,9,7
BB22C8,Andadera para Bebe Sencilla Azul,7503050000000,42,6,7
BB24C4,Carriola-Triciclo Infantil con Protector Solar Mod.ND-YL Gris,7503049746739,20,20,N/A
BB24C8,Carriola-Triciclo Infantil con Protector Solar Mod.ND-YL Azul,7503049746722,20,20,N/A
BB25C1,Silla Mecedora Musical con juguetes para Bebe Mod. LB,7503049746838,135,9,Master
BB25C22,Silla Mecedora Musical con juguetes para Bebe Mod. LB,7503049746746,135,9,Master
BB25C31,Silla Mecedora Musical con juguetes para Bebe Mod. LB,,135,9,Master
BB25C4,Silla Mecedora Musical con juguetes para Bebe Mod. LB,7503049746760,135,9,Master
BB26C22,Carriola para Bebe Basica ND-AT Rosa,7503050822187,84,14,6
BB26C31,Carriola para Bebe Basica ND-AT Verde,7503050822064,84,14,6
BB26C4,Carriola para Bebe Basica ND-AT Gris,7503050822088,84,14,6
BB26C7,Carriola para Bebe Basica ND-AT Beige,7503050822071,84,14,6
BB2C8,Silla Alta Periquera para Bebe Mod.1 Azul,7503040000000,42,42,N/A
BB3C22,Silla Mecedora Electrica Bebe Rosa,7503041710172,70,70,N/A
BB3C4,Mecedora Electrica para Bebe Gris,7503040000000,55,55,N/A
