codigo,Nombre,Barras,Tarima,Estiba,masterPack
EL8C5,Cafetera Tetera Metalica Electrica de 1000w y 1.8l Plata,7503049746395,320,20,16
EL9C1,Refrigerador BC-90 Negro,7503050822026,12,12,N/A
ET1C1,,,,,
ET2C1,PANTALLAS LED 43,7503050822538,48,48,N/A
HG103C1,Zapatera 9 peldaños 162*58*28cm Negra,7503044894046,200,20,15
HG103C17,Zapatera de Tela 9 Peldaños Café,7503044894060,200,20,10
HG103C4,Zapatera de Tela 9 Peldaños Gris,7503044894060,300,20,15
HG103C9,Zapatera de Tela 9 Peldaños Marino,7503044894053,300,20,15
HG10C1,Mesa Metalica Plegable con 4 Bancos de Tela Negra,7503041710301,90,90,N/A
HG123C1,,,,,
HG123C4,Gancho para ropa de niño terciopelo Gris,7503045663542,196,196,N/A
HG126C11,Colchoneta King de Memory Foam de 5cm,7503045663764,48,12,4
HG127C1,Set de Dos Bancos de Plastico para Bar Acolchonados Negro,7503045663795,35,35,N/A
HG127C4,Set de Dos Bancos de Plastico para Bar Acolchonados Gris,7503045663771,35,35,N/A
HG127C6,Set de Dos Bancos de Plastico para Bar Acolchonados Blanco,7503045663788,35,35,N/A
HG12C1,Trapeador con Cubeta Negro,7503041710400,200,8,25
HG12C24,,,,,
HG131C1,,,,,
HG131C4,,,,,
HG131C6,,,,,
HG132C1,Set de Bancos Bar Ejecutivos Negros de 53*47*45,7503045663986,16,16,N/A
HG134C1,,,,,
HG135C1,,,,,
HG137C1,Zapatera de Tela de 6 peldaños Doble de 118*25*104cm Negra,7503046913226,200,20,10
HG137C17,Zapatera de Tela de 6 peldaños Doble de 118*25*104cm Café,7503046913257,200,20,10
HG137C20,,,,,
HG137C4,Zapatera de Tela de 6 peldaños Doble de 118*25*104cm Gris,7503046913219,200,20,10
HG137C9,,,,,
HG140C1,Silla Metalica Plegable Acojinada Negra,7503046913356,96,16,6
HG141C1,,,,,
HG143C1,Set de Bancos Sin Respaldo Acojinados Negro,7503046913936,28,28,N/A
HG149C6,Ventilador de Torre 34 Blanco,7503049746371,90,90,N/A
HG150C17,Armario para Ropa de Tela Café,7503049746432,120,12,10
HG150C4,Armario para Ropa de Tela Gris,7503049746401,120,12,10
HG151C1,Mesa desayunador de MDF de 60*60*74 Negra,7503049746470,33,33,N/A
HG151C4,Mesa desayunador de MDF de 60*60*74 Gris,7503049746494,33,33,N/A
HG151C6,Mesa desayunador de MDF de 60*60*74 Blanca,7503049746456,33,33,N/A
HG152C1,Mesa desayunador de MDF de 80*80*74 Negra,7503049746487,28,28,N/A
HG152C4,Mesa desayunador de MDF de 80*80*74 Gris,7503049746500,28,28,N/A
HG152C6,Mesa desayunador de MDF de 80*80*74 Blanca,7503049746463,28,28,N/A
HG153C1,Silla para Comedor de Vinipiel 40*37*96cm set de 4 pzas. Negra,7503049746517,20,20,N/A
HG153C4,Silla para Comedor de Vinipiel 40*37*96cm set de 4 pzas. Gris,7503049746531,20,20,N/A
HG153C6,Silla para Comedor de Vinipiel 40*37*96cm set de 4 pzas. Blanca,7503049746524,20,20,N/A
